production_row_index	source_uid	group_id	sample_class	process_or_mode	workflow_population	generator_weight_transport_class	optimized_fold_k5	auxiliary_qcd	production_action	generated_events	accounting_rows	broad_eligible_rows	resolved_rows	non_broad_rows	assignment_matchable_rows	historical_parity_rows	historical_maximum_absolute_difference	accounting_sha256	resolved_sha256	receipt_sha256	byte_identical_internal_rerun	physical_weight_application_authorized	validation_payloads_opened	test_payloads_opened	models_trained	status
20	9cacc87dca5502e5a629cb02::background::368::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard010_10k_bundle.tar.gz	9cacc87dca5502e5a629cb02	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	4	True	stage_and_submit	10000	10000	8033	8033	1967	0	1525	0.0	665043e3154f13913f80f1a2d71f2c7e8bb762eb984cacc7b25b42fe37f31f46	cb5e13024568ade326b50c87bccc61a684f33d56be24dc2d585c4eec43d0bd89	e0112abf5c2af729233e08a6f241130fa28f139a5fd4cb03517a9173ae6a1728	True	False	0	0	0	pass
21	bd8b7f9e133dbca1fd322312::background::371::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard013_10k_bundle.tar.gz	bd8b7f9e133dbca1fd322312	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	3	True	stage_and_submit	10000	10000	8033	8033	1967	0	1595	0.0	d4a8bb276d06e3d220aae4b892c5bcd7a57573471437bea530a3ac6ddedd4da3	f27a3f68162b5ab0fbad761d7f4933d2316c98abd15b84a650cc1eb130d3833a	872521b08341672e831c5f8f540ee835fa748839cfeb1e8441d455effdf80713	True	False	0	0	0	pass
22	fabd00856f2405973059615f::background::370::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/qcd_bbbb_iht400to600_run2_frozen_v2_unified5m_wavea_shard012_10k_bundle.tar.gz	fabd00856f2405973059615f	background	qcd_bbbb_iht400to600	auxiliary_qcd_classification_only	not_applicable_auxiliary_qcd	1	True	stage_and_submit	10000	10000	8012	8012	1988	0	1562	0.0	955f3f7c0df90c00a88c003ad5163f2182ec19bbb1f75f2ad911639f409231fd	2d5beeba2b446b3c278689cdac148d4cb1a63d77eca991f2f9aef41147870316	40388901a5ee1a4aea3ddcf5a422956ddeb79f5f4fab86bfd0b8c9a6f9fbc09e	True	False	0	0	0	pass
23	2b75740d79c95d2ed01426b1::background::1::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_bundle.tar.gz	2b75740d79c95d2ed01426b1	background	bbh_hbb_4fs	primary_physical_background	signed_exact_event_sidecar	2	False	reuse_pilot_after_byte_identical_copy	10000	10000	3114	3114	6886	0	334	0.0	8ded036b7579fc54cf24422c94b9444d068d5e9413f95cdfc12a40e2360eba01	9425870bcd58e175ac50688476224852b1fee0e0c58f9933a4f677de0aed90f3	9ba1e5ee10028f581fd00212338f7c2c3b5db7877b3d703030a7810c2000f640	True	False	0	0	0	pass
24	44496f1095922dfadc459546::background::2::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9803_10k_bundle.tar.gz	44496f1095922dfadc459546	background	bbh_hbb_4fs	primary_physical_background	uniform_member_constant	3	False	stage_and_submit	10000	10000	3180	3180	6820	0	334	0.0	6f38979f9a344067acc5dac6e08d2884e246a5cec277e8b4da756fc24ae0f4f2	86cab77a33422d12eb6b7e131499c628bfe0ac5ce1cdded834aa37e9bc0d3c5a	cb10775fc9638378360a065ab7735be41e150ae83bf825712d56c65d4b07449a	True	False	0	0	0	pass
25	6b17060f283655da93e0921e::background::0::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz	6b17060f283655da93e0921e	background	bbh_hbb_4fs	primary_physical_background	uniform_member_constant	1	False	stage_and_submit	10000	10000	3154	3154	6846	0	344	0.0	e5c27a62cd6a2c8461ac867c9b413cb7e27398381626ed32a3eb8ffb4aaafad2	135f471369ad02c3f86b30cb5875a8068fc55a468c63c91fa1352a1c378c4889	ea96a736fc36b0309298fcd896d4e892377c99b373a80bdf210fbc95142358f9	True	False	0	0	0	pass
26	5581eba7ecceab1d7eb22b19::background::11::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9707_10k_bundle.tar.gz	5581eba7ecceab1d7eb22b19	background	ggh_hbb	primary_physical_background	uniform_member_constant	3	False	stage_and_submit	10000	10000	785	785	9215	0	2	0.0	abf9eaa14da669a712632cf75e1a52ff1e508c29b49e34a42aed811b07e99f18	3675f4ef65fddb74949d8c8b3c722d6c22e834d2a420cfb4f4340b21ed28749e	f5f8052989e9f68b76f2b2ea422490dd447b92db9d14e0f7d0321bdfd76ec4d8	True	False	0	0	0	pass
27	6aeca1df086a5ba7b74a5ebf::background::6::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9702_10k_bundle.tar.gz	6aeca1df086a5ba7b74a5ebf	background	ggh_hbb	primary_physical_background	uniform_member_constant	4	False	stage_and_submit	10000	10000	761	761	9239	0	1	0.0	cde7607ba5cdfad412148007446f732f3f161c9059320312d41685aa6e8b8975	3d67b3c7195f515d29da971eea7282ef8605112de88932f7dbb5f4114da6097b	180b45a11afe48bbcf57c0b080d9340386ec0026df4de56b603c6937fcdc1ff2	True	False	0	0	0	pass
28	7dcf83e3d7a9fbe6d951f885::background::8::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9704_10k_bundle.tar.gz	7dcf83e3d7a9fbe6d951f885	background	ggh_hbb	primary_physical_background	uniform_member_constant	4	False	stage_and_submit	10000	10000	746	746	9254	0	6	0.0	d04673c1120be78fddda7eb350d0d1cda79e9bf12db5efe26e662739f225d488	1f6af57beb57dba9c6d6140573a58bf7a8473c8ff08db0d1c02f9405dab43f88	af0c50077e75e46f3fce9d4c2d2084d6540bd4dcd5a7647cf1bffdbedf7ba892	True	False	0	0	0	pass
29	9524da743bed17f1a164de40::background::10::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9706_10k_bundle.tar.gz	9524da743bed17f1a164de40	background	ggh_hbb	primary_physical_background	uniform_member_constant	2	False	stage_and_submit	10000	10000	738	738	9262	0	6	0.0	5e3025e24ef98574466e2b2f0d1ce9bc06625912e4c93dab853e12c6f91bc754	f5cc075b8d5e4d8ad33e43435292cd36775aa5ef63c87de36c9b5e9fb76e56b6	5944e993ada3fab96a89d24e13f47045f0c765bea7d65e14943fd5543fe1ea81	True	False	0	0	0	pass
30	b01df2690d845a4ec70c448d::background::5::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9701_10k_bundle.tar.gz	b01df2690d845a4ec70c448d	background	ggh_hbb	primary_physical_background	uniform_member_constant	1	False	stage_and_submit	10000	10000	746	746	9254	0	7	0.0	f0eeb3dfbd5f45db7d705a611314d0e7fe72d8f03bf288da616f2f0923b2bc6b	4e38f382aba5a39e9aa1774569cbe8e3f55a3cb4a385c2eecb3497a191cfb92c	c42afdfcde20b25cd9785b2b72a732c9ede17e062300397307404b64b9f7bf0a	True	False	0	0	0	pass
31	c3243743a4a6a550a9c5c805::background::12::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9708_10k_bundle.tar.gz	c3243743a4a6a550a9c5c805	background	ggh_hbb	primary_physical_background	signed_exact_event_sidecar	0	False	stage_and_submit	10000	10000	802	802	9198	0	6	0.0	09fd86b21f9809ef3a1c486d140285a31d2a479cd1be26a708aee7af828902c0	509b68a43491ec9c2eb42f21f1f45f135337f278bfbf375f44e9574af2446806	afb38983146107a9bdc45dae9ec9cfaac508f20cf2568b9d7ff30c39827093c1	True	False	0	0	0	pass
32	d57b5a8ba73ef272a21399fc::background::9::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9705_10k_bundle.tar.gz	d57b5a8ba73ef272a21399fc	background	ggh_hbb	primary_physical_background	uniform_member_constant	2	False	stage_and_submit	10000	10000	780	780	9220	0	3	0.0	551fd42e3449a06f23942623b1bac95877195235beb13a701464eb5ace80fb32	5e0b9f63d8a4a480bcddfd5ef14da10c314b9ab2d62a35af92721d6415318154	1a9d7defd2611ed9d9719069d78bd255061415c0f707b860598c642c8e517790	True	False	0	0	0	pass
33	db851bd542564798669015d6::background::7::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9703_10k_bundle.tar.gz	db851bd542564798669015d6	background	ggh_hbb	primary_physical_background	signed_exact_event_sidecar	1	False	stage_and_submit	10000	10000	766	766	9234	0	7	0.0	fa21a309f96c68f2a8cf729d16789d909ac5810d2156e68c3d3f20655fc405f6	5943df1aac505aec12f0ca931a3162193a815ecfd8041ec5653ca07b5e98aa2e	4fa614dfa6fa1d802aa1f91ea86c8b379d0755eb654ce36cd589f37f2bc6f7c2	True	False	0	0	0	pass
34	01311a969155f53d6624fd5f::background::186::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin05_pthat500to700_shard1868_seed1251868_bundle.tar.gz	01311a969155f53d6624fd5f	background	qcd_hardqcd	primary_physical_background	qcd_uniform_constant	2	False	stage_and_submit	2526	2526	1372	1372	1154	0	0	0.0	fc240f0c1b16ffdb2ebf63347923cb670b7b8883b59b9211f72ec04fc1c3f83f	29814389a47216300c974536dab50f18d34ba69790f1edeeb9e09bc607fcb474	596f37d68d2ccded93797ec8cbd318fffed9f8e21970584a097e7a27926d27ec	True	False	0	0	0	pass
35	03b82368ee8a80a11d321612::background::218::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin03_pthat200to300_shard9820_seed1239820_bundle.tar.gz	03b82368ee8a80a11d321612	background	qcd_hardqcd	primary_physical_background	qcd_uniform_constant	4	False	stage_and_submit	4532	4532	1548	1548	2984	0	1	0.0	75a279189a200896e4d5d5704b7dd7415e1096ad1901650e52d8bb3648503822	e85918817649c3ec72b1377c38d322c8743ce38af8d1eb1c42d0d86d833fa55f	8895e7ee608419e412fa408f732c2fe1e0f99d73cc4a420089100efe33d0880d	True	False	0	0	0	pass
