member_index	sample_class	process_or_mode	dataset_split	candidate_rows	resolution_method	layout_rule	bundle_campaign	schema_stratum_key	representative_member_index	schema_stratum_assigned	representative_audit_status
11	signal	ggf_hh4b	train	74	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext20k_frozen_v2_20260716	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext20k_frozen_v2_20260716"",""ggf_hh4b""]"	1	True	pass
12	signal	ggf_hh4b	train	61	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext20k_frozen_v2_20260716	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext20k_frozen_v2_20260716"",""ggf_hh4b""]"	1	True	pass
13	signal	ggf_hh4b	train	63	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext20k_frozen_v2_20260716	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext20k_frozen_v2_20260716"",""ggf_hh4b""]"	1	True	pass
14	signal	ggf_hh4b	train	81	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext20k_frozen_v2_20260716	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext20k_frozen_v2_20260716"",""ggf_hh4b""]"	1	True	pass
15	signal	ggf_hh4b	validation	60	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext20k_frozen_v2_20260716	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext20k_frozen_v2_20260716"",""ggf_hh4b""]"	1	True	pass
16	signal	ggf_hh4b	validation	59	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext20k_frozen_v2_20260716	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext20k_frozen_v2_20260716"",""ggf_hh4b""]"	1	True	pass
17	signal	ggf_hh4b	validation	78	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext20k_frozen_v2_20260716	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext20k_frozen_v2_20260716"",""ggf_hh4b""]"	1	True	pass
18	signal	ggf_hh4b	train	74	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
19	signal	ggf_hh4b	train	74	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
20	signal	ggf_hh4b	train	58	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
21	signal	ggf_hh4b	train	64	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
22	signal	ggf_hh4b	train	47	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
23	signal	ggf_hh4b	train	54	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
24	signal	ggf_hh4b	train	43	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
25	signal	ggf_hh4b	train	74	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
26	signal	ggf_hh4b	train	63	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
27	signal	ggf_hh4b	train	54	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
28	signal	ggf_hh4b	train	68	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
29	signal	ggf_hh4b	train	58	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
30	signal	ggf_hh4b	train	75	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
31	signal	ggf_hh4b	train	55	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
32	signal	ggf_hh4b	train	56	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
33	signal	ggf_hh4b	train	56	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
34	signal	ggf_hh4b	train	69	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
35	signal	ggf_hh4b	train	58	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
36	signal	ggf_hh4b	train	57	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
37	signal	ggf_hh4b	train	66	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
38	signal	ggf_hh4b	train	50	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
39	signal	ggf_hh4b	train	46	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
40	signal	ggf_hh4b	train	67	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
41	signal	ggf_hh4b	train	62	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
42	signal	ggf_hh4b	train	57	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
43	signal	ggf_hh4b	train	59	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
44	signal	ggf_hh4b	train	55	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
45	signal	ggf_hh4b	train	67	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
46	signal	ggf_hh4b	train	52	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
47	signal	ggf_hh4b	train	54	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
48	signal	ggf_hh4b	train	70	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
49	signal	ggf_hh4b	train	63	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
50	signal	ggf_hh4b	train	58	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
51	signal	ggf_hh4b	train	77	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
52	signal	ggf_hh4b	train	71	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
53	signal	ggf_hh4b	train	66	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
54	signal	ggf_hh4b	train	53	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
55	signal	ggf_hh4b	train	63	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
56	signal	ggf_hh4b	train	63	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
57	signal	ggf_hh4b	train	57	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
58	signal	ggf_hh4b	train	53	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
59	signal	ggf_hh4b	train	56	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
60	signal	ggf_hh4b	train	63	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
61	signal	ggf_hh4b	train	62	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
62	signal	ggf_hh4b	train	61	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
63	signal	ggf_hh4b	train	55	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
64	signal	ggf_hh4b	train	64	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
65	signal	ggf_hh4b	train	61	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
66	signal	ggf_hh4b	train	65	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
67	signal	ggf_hh4b	train	67	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
68	signal	ggf_hh4b	train	49	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
69	signal	ggf_hh4b	train	52	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
70	signal	ggf_hh4b	train	74	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
71	signal	ggf_hh4b	train	58	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
72	signal	ggf_hh4b	train	58	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
73	signal	ggf_hh4b	train	44	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	18	True	pass
