sample_class	process_or_mode	campaign	field	current_status	blocking_for_physical_weight	required_next_action
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	stitching_and_overlap_policy	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	stitching_and_overlap_policy	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	stitching_and_overlap_policy	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	process_definition	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	generator_cross_section	candidate_conflict_requires_review	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	stitching_and_overlap_policy	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	process_definition	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	generator_cross_section	candidate_conflict_requires_review	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	stitching_and_overlap_policy	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	process_definition	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	generator_cross_section	candidate_conflict_requires_review	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	stitching_and_overlap_policy	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	process_definition	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	generator_cross_section	candidate_conflict_requires_review	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	stitching_and_overlap_policy	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	stitching_and_overlap_policy	not_yet_classified	True	review parsed evidence and attach an authoritative source or explicit convention
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	stitching_and_overlap_policy	not_yet_classified	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	stitching_and_overlap_policy	not_yet_classified	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	stitching_and_overlap_policy	not_yet_classified	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	stitching_and_overlap_policy	not_yet_classified	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	stitching_and_overlap_policy	not_yet_classified	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	stitching_and_overlap_policy	not_yet_classified	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	stitching_and_overlap_policy	not_yet_classified	True	review parsed evidence and attach an authoritative source or explicit convention
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	stitching_and_overlap_policy	not_yet_classified	True	review parsed evidence and attach an authoritative source or explicit convention
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	stitching_and_overlap_policy	not_yet_classified	True	review parsed evidence and attach an authoritative source or explicit convention
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	stitching_and_overlap_policy	not_yet_classified	True	review parsed evidence and attach an authoritative source or explicit convention
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	stitching_and_overlap_policy	not_yet_classified	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	stitching_and_overlap_policy	not_yet_classified	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	filter_efficiency_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	external_reference_cross_section	not_assigned	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	stitching_and_overlap_policy	not_yet_classified	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	beam_energy	not_located	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	sum_generator_weights_or_proven_unweighted_denominator	not_located_do_not_substitute_event_count_yet	True	review parsed evidence and attach an authoritative source or explicit convention
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	decay_and_branching_fraction_convention	manual_review_required	True	review parsed evidence and attach an authoritative source or explicit convention
