sample_class	process_or_mode	campaign	members	generated_events_manifest	candidate_rows_metadata	train_members	validation_members	final_evaluation_members	physical_normalization_included	authoritative_physics_weight_authorized_now	model_training_membership_changed	candidate_content_opened	reason	status
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	1	3300	13	0	0	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	4	13200	68	4	0	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	1	10000	314	1	0	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	9	90000	2631	6	2	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	15	150000	4339	12	3	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	1	1500	15	0	1	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	4	6000	58	3	0	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
signal	ggf_hh4b	ggf_hh4b_ml_ext20k_frozen_v2_20260716	20	20000	1289	14	3	3	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
signal	ggf_hh4b	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	80	80000	4823	66	14	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	1	10000	581	0	1	0	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	9	90000	5702	7	1	1	True	False	False	False	EOS representative-bundle provenance is extracted; generator parsing and external reference-cross-section review remain required.	included_pending_generator_and_theory_review
