sample_class	process_or_mode	campaign	nondefault_generation_phase_space_settings	generator_reported_cross_section_scope	external_inclusive_xsec_requires_acceptance_or_filter_proof	numeric_filter_efficiency_authorized	status
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	drbb=0.4 || drbj=0.4 || etab=2.7 || etaj=5.0 || maxjetflavor=5 || ptb=25.0 || ptj=20.0	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	drbb=0.4 || drbj=0.4 || etab=2.7 || etaj=5.0 || maxjetflavor=5 || ptb=25.0 || ptj=20.0	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	tth_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	tttt	unified_background_5m_waveb_priority_pilots10k_20260721_v1	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	maxjetflavor=5	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	maxjetflavor=5	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	maxjetflavor=5	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	maxjetflavor=5	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	etaj=5.0 || maxjetflavor=4 || ptj=20.0	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	etaj=5.0 || maxjetflavor=4 || ptj=20.0	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	drbb=0.4 || drbj=0.4 || etab=2.7 || etaj=5.0 || maxjetflavor=4 || ptb=25.0 || ptj=20.0	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	drbb=0.4 || drbj=0.4 || etab=2.7 || etaj=5.0 || maxjetflavor=4 || ptb=25.0 || ptj=20.0	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	drbb=0.4 || drbj=0.4 || etab=2.7 || etaj=5.0 || maxjetflavor=4 || ptb=25.0 || ptj=20.0	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	maxjetflavor=4	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	drjj=0.4 || etaj=5.0 || maxjetflavor=4 || ptj=20.0	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	drjj=0.4 || etaj=5.0 || maxjetflavor=4 || ptj=20.0	configured_hard_process_and_run_card_phase_space	True	False	generator_phase_space_scope_frozen_fail_closed
