unique_population_index	source_population	source_index	member_id	campaign	final_split	generated_events_frozen	root_sha256	sum_generator_weights_frozen	sum_squared_generator_weights_frozen	independent_unique_member	included_in_unique_ttbar_population	member_denominator_value_frozen	member_denominator_use_authorized	cross_campaign_process_aggregation_authorized	process_reference_cross_section_assigned	physical_weight_application_authorized
12	bundle_backed	165	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard020_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	917263d28dc75a5bc9ea8dd27fb05dfc3ecb151dc028c7bff6b8d1ae73986015	5120140.9912109375	2621584376.9878521	True	True	True	True	False	False	False
13	bundle_backed	166	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard021_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	e9f6a3cd2f642feb9dcee999f435bb21be326e301677bc1f6dc622fe1c813669	5119020.6909179688	2620437283.4046278	True	True	True	True	False	False	False
14	bundle_backed	167	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard023_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	7b74ce307a118bd592206a2e04f7a42e229eb0cd9eb5f84fb1c9911ecc4cd9f7	5137813.1103515625	2639712355.6900396	True	True	True	True	False	False	False
15	bundle_backed	168	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard025_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	78c9acef7ef1138325e2750f42cadbbac976a3a1177ef796f1973048204363e0	5118638.916015625	2620046435.254961	True	True	True	True	False	False	False
16	bundle_backed	169	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard026_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	8744d1a82c3d7b4a3ae9c954708bb6c56f779a654844552ecedbfc4b86946aee	5117841.1865234375	2619229841.0475626	True	True	True	True	False	False	False
17	bundle_backed	170	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard027_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	863b1491e8711937a784616d2b2c1f301f455fc078722bd7b182cb88426f8dcf	5121567.9931640625	2623045870.8602562	True	True	True	True	False	False	False
18	bundle_backed	171	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard028_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	609403c57ea07348f9d7a13028ace03694db89f11495dbf5d828f56daf715a7c	5125568.2373046875	2627144975.5266681	True	True	True	True	False	False	False
19	bundle_backed	172	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard003_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	b439e6b7f97d369ce0c44ce4b210464bffe70027e4b731539da28e4bd3bdb6c6	5117250.6713867188	2618625443.3807826	True	True	True	True	False	False	False
20	bundle_backed	173	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard030_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	87d29fce62d90aee5d93f66bd3a6df06aeeac8328c664d892ed8aee417c0223b	5116477.05078125	2617833741.1171198	True	True	True	True	False	False	False
21	bundle_backed	174	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard031_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	7795d49df909a430154330e6fc9eadf1a0a9b224d69b99664e83896f3afcdd14	5119482.7270507812	2620910339.2571306	True	True	True	True	False	False	False
22	bundle_backed	175	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard032_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	9f2d8756fd983d6a4054bc956002c0f4c667d9e8750dee0cae307e312f2f078e	5117870.7885742188	2619260140.8541298	True	True	True	True	False	False	False
23	bundle_backed	176	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard033_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	a3c4673559d2777265f5226cff1cedd4a913c03edbc9d4893c56c69a52b5bdb2	5139207.1533203125	2641145016.4738669	True	True	True	True	False	False	False
24	bundle_backed	177	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard035_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	6cd42bfb86bcf9a909919d18c0788d0bb28cfd6f41e296f23f6344b64f92e1ba	5115649.1088867188	2616986580.5253482	True	True	True	True	False	False	False
25	bundle_backed	178	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard036_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	90117422d9d99ac8c263b10fff423655407cd76cff942b6a49ab4f0dcce3f357	5110860.2905273438	2612089290.9289246	True	True	True	True	False	False	False
26	bundle_backed	179	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard037_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	77cd32bd0cb83bed1e4517c43582127ce69a8413cb066e8747061e08898c1bc2	5133051.1474609375	2634821408.2450047	True	True	True	True	False	False	False
27	bundle_backed	180	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard038_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	2687bf8cf4ed40bfa4a0f81ffa278c2e074014995f552ee8d3b457b44601d153	5120075.68359375	2621517500.5728006	True	True	True	True	False	False	False
28	bundle_backed	181	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard040_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	afab3d4d3deefbec6e95f40c3ecf00f271661ce25c97e225cf3ec270cc370acc	5120801.3916015625	2622260689.2228498	True	True	True	True	False	False	False
29	bundle_backed	182	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard041_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	9a8fce7afbd047c520f2391515a549401de3ad55200949cfda76676463bb313e	5115874.9389648438	2617217639.1128545	True	True	True	True	False	False	False
30	bundle_backed	183	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard042_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	cf5c6bb86b04358bbef432634b00a298d225d3d2d72cdf4fa181bac2c62e3379	5121247.55859375	2622717655.6402445	True	True	True	True	False	False	False
31	bundle_backed	184	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard043_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	3c3d5b7909c222c5bd236f8c24fb0c679efccc722c0c81f204bc89debc312b6d	5122097.16796875	2623587939.8113489	True	True	True	True	False	False	False
32	bundle_backed	185	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard045_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	897cf881a08ff3e935098730a278a7fc19557c7ab008cc8387e9ab0dead65a27	5127157.5927734375	2628774498.113431	True	True	True	True	False	False	False
33	bundle_backed	186	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard046_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	6a8f72938233bea86943b9e28952dc90a98d926605c42a6b4669d3c3df942754	5119482.7270507812	2620910339.2571306	True	True	True	True	False	False	False
34	bundle_backed	187	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard047_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	0f057f03075c167ad4043320849c42526782a7a1aec985e7d2350e27b4bbbf2f	5117019.3481445312	2618388700.9285483	True	True	True	True	False	False	False
35	bundle_backed	188	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard048_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	1dcdb3bac06c999faaa3e942ac4063a890074636714d223914d00de6c21e27f8	5122655.6396484375	2624160080.2421942	True	True	True	True	False	False	False
36	bundle_backed	189	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard005_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	a2d91c3fff445c63ef87356f0b895c0dcc241f4670139499f35642da659c9fad	5119575.5004882812	2621005330.5199838	True	True	True	True	False	False	False
37	bundle_backed	190	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard050_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	e08e04919fc6e0f6fd332fa1a879842af93db76b7125622c02fcfbafc9260701	5123535.7666015625	2625061875.164546	True	True	True	True	False	False	False
38	bundle_backed	191	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard051_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	1f04cf4220d1f231cd85ed27004fb58cbe84c6bedad4d9e437cb936805f55a80	5129002.685546875	2630666854.8347054	True	True	True	True	False	False	False
39	bundle_backed	192	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard052_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	ffd72edf4d13396a00666dd75bade8c42f16e42684e651f8b4e0344703857322	5126265.2587890625	2627859550.3467693	True	True	True	True	False	False	False
40	bundle_backed	193	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard053_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	c6dc208e275251d635b92934319cb12732bb31f8c20834fa711bf818d87f4f7e	5123704.2236328125	2625234497.1272721	True	True	True	True	False	False	False
41	bundle_backed	194	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard055_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	3514e17c2b874258e7c601bf41a3245d3a167be898976dd968408b85e3a56b66	5118170.4711914062	2619566897.217566	True	True	True	True	False	False	False
42	bundle_backed	195	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard056_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	d6d8fcc8c9a1da6d99f6975daa713d796765895facbea13bd54b3efef9707993	5129088.7451171875	2630755135.5287805	True	True	True	True	False	False	False
43	bundle_backed	196	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard057_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	186a7ee610700bd05f63ec67fb5ccf5648a5fc462dcfe95b8fa3e57f56e7df30	5115517.2729492188	2616851696.9841814	True	True	True	True	False	False	False
44	bundle_backed	197	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard058_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	7ac02c7904839ee9db413d6b99f3d48e2ab77a7b38412b8de0607924d06e5a56	5122633.6669921875	2624137568.6201825	True	True	True	True	False	False	False
45	bundle_backed	198	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard006_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	e8135cd33d05d4e111910b32ddaec0546500733db1831f7d7d7c72d770928a85	5131547.8515625	2633278335.287571	True	True	True	True	False	False	False
46	bundle_backed	199	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard060_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	7f15a0dda3f0669710773f526844bd63ee32b1f0c7e74a41d6033abb83626d15	5126105.3466796875	2627695602.5258079	True	True	True	True	False	False	False
47	bundle_backed	200	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard061_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	5fcfa6224acef64ecde4784ccd6c76a3309d38f3f8df9e79180de17fb24579f3	5121084.5947265625	2622550742.634572	True	True	True	True	False	False	False
48	bundle_backed	201	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard062_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	587eefecd96bf18e0c047657c4a9d649dee5efb829af271fdeb94fd16579a522	5122501.8310546875	2624002500.9158626	True	True	True	True	False	False	False
49	bundle_backed	202	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard063_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	c7dd039d0684afe610b4f2d27eea0c307145e098a60c7a2649820a825f9bc95b	5127656.8603515625	2629286487.7510443	True	True	True	True	False	False	False
50	bundle_backed	203	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard065_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	a279c8d5a801f68d415b39e3a3dada14a76283b185430b23d7ba2ff99e074769	5122912.59765625	2624423348.3225107	True	True	True	True	False	False	False
51	bundle_backed	204	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard066_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	59ba89363b74de48ab7727dadf1a77efb451d2d5f82cdfb752eda4524a39151b	5127165.52734375	2628782634.4782114	True	True	True	True	False	False	False
52	bundle_backed	205	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard067_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	ac6eaebd3bb1c9691249bd8f052719bf26ee2c50e625a4334cd33418a6a05337	5119752.5024414062	2621186568.625504	True	True	True	True	False	False	False
53	bundle_backed	206	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard068_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	ed5c30760e532747dfcec7ccede8122954dc25da8d07ed8a3768e28f1acbd142	5125273.4375	2626842780.9143066	True	True	True	True	False	False	False
54	bundle_backed	207	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard007_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	a67dc9fe92fb1dcdd16c029f8ae9e9f82031fa8db3736cc0ead022a867627068	5123611.4501953125	2625139429.2572513	True	True	True	True	False	False	False
55	bundle_backed	208	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard070_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	336a133078b405e48e7c65930de27fe74b0e658ac99a5edd60f739d812a1728d	5130439.453125	2632140898.2181549	True	True	True	True	False	False	False
56	bundle_backed	209	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard071_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	17381fffa7433f64a5faf507a7bd3e2b7bbb9461d0559929607abff505c12882	5127645.263671875	2629274595.005661	True	True	True	True	False	False	False
57	bundle_backed	210	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard072_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	91970efd27ad42caf097d043ecc4124b2480797528f058f14a1aecc0e434ce79	5121753.5400390625	2623235932.4902668	True	True	True	True	False	False	False
58	bundle_backed	211	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard073_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	2124da056d7e76b362eed15644ebf47aed38d9bf6114f1a56b97bb65851a9667	5130296.630859375	2631994352.0607052	True	True	True	True	False	False	False
59	bundle_backed	212	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard008_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	train	10000	42e16ee7e83e48065d84912ee0328a4c7690d73e6904cf44ba4a2a6a8bb00640	5128114.6240234375	2629755959.7123041	True	True	True	True	False	False	False
60	bundle_backed	291	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard014_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	validation	10000	d5425c41a0f40fbae75f4bedf2155099ea4d93c6f8d7910bf33177e0c8e866d9	5123752.44140625	2625283908.0816507	True	True	True	True	False	False	False
61	bundle_backed	292	bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/unified_background_5m_wavea_proven111_20260720_v1/ttbar_inclusive_run2_frozen_v2_unified5m_wavea_shard019_10k_bundle.tar.gz	unified_background_5m_wavea_proven111_20260720_v1	validation	10000	1d7671801c94d7af04f0fa029ec89f9dd1e8f72ed46eac0987e07251144af26d	5111343.6889648438	2612583430.6720738	True	True	True	True	False	False	False
