gate_class	gate	observed	expected	status	interpretation	original_status	augmentation_status	combined_status
hard	class_balance_fold_2	"{""background"": 0.4999999999999996, ""signal"": 0.4999999999999996}"	"{""background"": 0.5, ""signal"": 0.5} within abs_tol=1e-12"	pass	equal total signal and background loss budget; floating-point closure evaluated with the same 1e-12 absolute tolerance as the aggregate weight gate	pass	not_applicable	pass
hard	class_balance_fold_3	"{""background"": 0.4999999999999996, ""signal"": 0.5000000000000004}"	"{""background"": 0.5, ""signal"": 0.5} within abs_tol=1e-12"	pass	equal total signal and background loss budget; floating-point closure evaluated with the same 1e-12 absolute tolerance as the aggregate weight gate	pass	not_applicable	pass
hard	class_balance_fold_4	"{""background"": 0.4999999999999995, ""signal"": 0.5000000000000002}"	"{""background"": 0.5, ""signal"": 0.5} within abs_tol=1e-12"	pass	equal total signal and background loss budget; floating-point closure evaluated with the same 1e-12 absolute tolerance as the aggregate weight gate	pass	not_applicable	pass
hard	fixed_auxiliary_qcd_budget_across_folds	0.00687799043062,0.00687799043062,0.00687799043062,0.00687799043062,0.00687799043062	one identical positive value across 5 folds	pass	auxiliary-QCD loss contribution is fixed across folds	pass	not_applicable	pass
hard	qcd_family_total_equals_other_background_family_budget	0.0625,0.0625,0.0625,0.0625,0.0625	0.0625	pass	auxiliary QCD shares rather than enlarges the QCD family budget	pass	not_applicable	pass
hard	accounting_rows	320	320	pass	deterministic sampled accounting population	pass	not_applicable	pass
hard	resolved_rows	264	264	pass	deterministic sampled resolved population	pass	not_applicable	pass
hard	non_broad_sample_rows	56	56	pass	non-broad events remain represented	pass	not_applicable	pass
hard	accounting_event_uid_unique	320	320	pass	one accounting row per sampled event	pass	not_applicable	pass
hard	resolved_event_uid_unique	264	264	pass	one resolved row per sampled broad event	pass	not_applicable	pass
hard	resolved_subset_of_accounting	0	0	pass	resolved model view is a strict accounting-table view	pass	not_applicable	pass
hard	primary_event_weight_inputs_finite	272	272	pass	sampled primary events have complete signed-weight inputs	pass	not_applicable	pass
hard	auxiliary_event_weights_null	48	48	pass	auxiliary QCD has no physical weight at event level	pass	not_applicable	pass
hard	primary_diagnostic_weight_formula	0.0	<=1e-12 relative/absolute numerical precision	pass	diagnostic Run-2 event weight preserves generator-weight sign	pass	not_applicable	pass
hard	non_broad_primary_selection_weight_zero	48	48	pass	non-broad events contribute zero after resolved preselection	pass	not_applicable	pass
hard	broad_primary_selection_weight_equals_event_weight	0.0	<=1e-12	pass	broad selected yield uses the diagnostic event weight	pass	not_applicable	pass
hard	event_physical_authorization_false	0	0	pass	diagnostic computation has not authorized physical use	pass	not_applicable	pass
hard	mass_aware_schema_rows	34	34	pass	exact conventional mass-aware feature cardinality	pass	not_applicable	pass
hard	mass_blind_schema_rows	30	30	pass	exact conventional mass-plane-blind feature cardinality	pass	not_applicable	pass
hard	mass_aware_features_present_finite	missing=[]; finite=True	missing=[]; finite=True	pass	all sampled resolved features are usable	pass	not_applicable	pass
hard	mass_blind_features_present_finite	missing=[]; finite=True	missing=[]; finite=True	pass	all sampled resolved features are usable	pass	not_applicable	pass
hard	four_comparison_weights_per_resolved_row	[4]	[4]	pass	each row has weights for four outer-training uses	pass	not_applicable	pass
hard	own_holdout_fold_weight_null	264	264	pass	source-group held-out fold cannot enter training	pass	not_applicable	pass
hard	comparison_weights_positive	1056	1056	pass	learning weights are nonnegative and finite	pass	not_applicable	pass
hard	historical_parity_rows	48	48	pass	sampled events with at least four tags	pass	not_applicable	pass
hard	historical_parity_status	48	48	pass	generalized reconstruction reproduces frozen rich-v2 behavior	pass	not_applicable	pass
hard	historical_parity_max_difference	0.0	<=1e-9	pass	numerical parity tolerance	pass	not_applicable	pass
hard	deterministic_artifacts	5	5	pass	independent reruns are byte-identical	pass	not_applicable	pass
coverage	btag_category_coverage	0,1,2,3,4plus	0,1,2,3,4plus	pass	broad reconstruction exercised from zero to four-plus tags	pass	not_applicable	pass
coverage	signed_transport_negative_weight_coverage	0	>=1	fail	signed event-weight path exercised with a negative event	fail	pass	pass
coverage	signed_transport_positive_weight_coverage	48	>=1	pass	signed event-weight path exercised with a positive event	pass	pass	pass
coverage	variable_qcd_weight_variation	1	>=2	fail	variable hard-QCD event weights genuinely vary	fail	pass	pass
coverage	qcd_uniform_constant_constant_weight_behavior	1	1	pass	constant transport remains constant in sampled events	pass	pass	pass
coverage	uniform_member_constant_constant_weight_behavior	3	1	fail	constant transport remains constant in sampled events	fail	pass	pass
coverage	auxiliary_transport_all_weights_null	48	48	pass	classification-only auxiliary path has no physical weights	pass	pass	pass
