model_label,model_sha256,target_epsilon_sm,actual_epsilon_sm,threshold_float32,n_sm_pass,n_sm_total,n_sm_strictly_greater,tie_block_size,n_qcd1_pass,n_qcd1_total,n_qcd2_pass,n_qcd2_total,n_qcd_pass,n_qcd_total,epsilon_qcd,r_qcd_central,garwood_count_lower68,garwood_count_upper68,poisson_count_upper95_one_sided,s_450,b_qcd_450_central,s_over_b_450_central,s_over_sqrt_b_450_central,z_a_450_central,b_qcd_450_95up,z_a_450_using_b_qcd_95up_mcstat,s_4000,b_qcd_4000_central,s_over_b_4000_central,s_over_sqrt_b_4000_central,z_a_4000_central,b_qcd_4000_95up,z_a_4000_using_b_qcd_95up_mcstat,support_label,provenance_label
SPA-Net 10M primary checkpoint,fd9ea100825ecc0412a2666f01fd19d1a91b25a50109b958c307102fa6943de5,0.10,0.10000236142378111,0.99828511476516724,50818,508168,50816,2,1939,27683689,4684,59939617,6623,87623306,7.5584913447570675e-05,13230.153404801449,6542.0675683875161,6704.9311746422773,6758.4373798679653,120.15776921863493,48422.657386118699,0.0024814369079438521,0.54604388405632787,0.5458182883200664,49412.879014175487,0.54032605123149635,1068.0690597211994,430423.62120994402,0.0024814369079438525,1.6279883245972837,1.6273157280618038,439225.59123711544,1.6109410407569267,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
Step2j BDT-K,46591e1059374aae646675a121885bd3943e1f13d5fdb6b47844cbf9a0546035,0.075,0.075000787141260364,0.88175582885742188,38113,508168,38112,1,226524,27683689,492720,59939617,719244,87623306,0.0082083641080604747,121.82695441324502,718400.61414064642,720088.37907666003,720640.54089988547,90.11714467766997,5258599.6963644205,1.7137099205321382e-05,0.039298173601854954,0.0392980613600038,5268810.208446688,0.039259964938472697,801.04128602373305,46743108.412128188,1.7137099205321379e-05,0.11716451675378059,0.11716418211161791,46833868.519526117,0.11705060052934273,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
Step2j BDT-KF,1ba187760b831e9452df537958a32828c1816715134b218d37c1d2360508df33,0.075,0.075000787141260364,0.99748384952545166,38113,508168,38109,4,2127,27683689,5363,59939617,7490,87623306,8.5479541253556446e-05,11698.705740987984,7403.9330903720211,7577.0652879138324,7633.9292512289303,90.11714467766997,54761.54368443742,0.0016456282751444824,0.38509650914655125,0.38499096055201387,55813.851825778067,0.38134637231268215,801.04128602373305,486769.27719499933,0.0016456282751444822,1.1481359631327439,1.1478212780230346,496123.12734024948,1.1369552152853792,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
SPA-Net 2M primary checkpoint,dc39cf76f0d8e40d07228f240fe58b1179e8134cd4f96c5c786a7d528d31ea8d,0.075,0.075000787141260364,0.99910539388656616,38113,508168,38111,2,817,27683689,1982,59939617,2799,87623306,3.1943556204099395e-05,31305.218292247231,2746.3870894289253,2852.6149451209239,2887.6022682766479,90.11714467766997,20464.293828136229,0.0044036283604259275,0.62995429521767199,0.62949279405892955,21112.090488319391,0.61977389140123662,801.04128602373305,181904.8340278776,0.0044036283604259275,1.8781608357662469,1.8767849051493897,187663.02656283905,1.8478087358035542,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
SPA-Net 10M primary checkpoint,fd9ea100825ecc0412a2666f01fd19d1a91b25a50109b958c307102fa6943de5,0.075,0.075008658553864072,0.99895894527435303,38117,508168,38110,7,628,27683689,1400,59939617,2028,87623306,2.3144527324727965e-05,43206.758382642998,1983.2162654419653,2073.7874139285605,2103.6556251946449,90.126602568119694,14827.29113378359,0.0060784267169859919,0.74015400354334171,0.73940606761006356,15380.431163699475,0.72601471447074506,801.12535616106402,131798.14341140969,0.0060784267169859928,2.2067128876553763,2.2044829735359053,136714.94367732867,2.1645576722956053,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
Step2j BDT-K,46591e1059374aae646675a121885bd3943e1f13d5fdb6b47844cbf9a0546035,0.05,0.050001180711890553,0.89967978000640869,25409,508168,25408,1,135053,27683689,294491,59939617,429544,87623306,0.0049021660972253201,203.9914560557242,428892.23278693389,430196.76060275832,430623.60006195644,60.078884609317463,3140519.6956459265,1.9130236531428834e-05,0.033901670653828583,0.033901562563914828,3148412.9621285098,0.033859039505891343,534.03452986059972,27915730.627963793,1.9130236531428834e-05,0.10107525351036062,0.10107493124750101,27985892.996697865,0.10094815198340626,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
Step2j BDT-KF,1ba187760b831e9452df537958a32828c1816715134b218d37c1d2360508df33,0.05,0.050003148565041483,0.99829798936843872,25410,508168,25407,3,807,27683689,2018,59939617,2825,87623306,3.2240280913390785e-05,31017.099469026547,2772.1432807945835,2878.8587103598898,2914.0054542611042,60.081249081929897,20654.387304210377,0.0029088855649415653,0.41805439619514173,0.41785196272123759,21305.131773058529,0.41142711582021235,534.05554739493243,183594.55381520337,0.0029088855649415653,1.2463973975799552,1.2457938575686183,189378.94909385359,1.2266386650142731,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
SPA-Net 2M primary checkpoint,dc39cf76f0d8e40d07228f240fe58b1179e8134cd4f96c5c786a7d528d31ea8d,0.05,0.050005116418192407,0.99965643882751465,25411,508168,25407,4,96,27683689,249,59939617,345,87623306,3.9373086425202902e-06,253980.59710144927,326.53404254271743,364.48539584287482,377.15392515031641,60.083613554542325,2522.3942017531258,0.023820072815257321,1.196326063359392,1.191623160582699,2757.480794108958,1.1400764168779705,534.07656492926515,22421.281793361119,0.023820072815257325,3.5667552012350949,3.5527338541681157,24510.940392079629,3.3990511569113706,FINITE_SUPPORT_CAUTION,SUPPORTED_FROZEN_EXACT_COUNT
SPA-Net 10M primary checkpoint,fd9ea100825ecc0412a2666f01fd19d1a91b25a50109b958c307102fa6943de5,0.05,0.050005116418192407,0.99982303380966187,25411,508168,25408,3,14,27683689,20,59939617,34,87623306,3.8802461984257933e-07,2577156.0588235296,28.22640240068332,40.851737791277372,45.265612717440327,60.083613554542325,248.58377640465585,0.24170368003716991,3.8108306845180175,3.6709814933937595,330.94991031093917,3.2096873945180873,534.07656492926515,2209.6335680413854,0.24170368003716991,11.361701948432458,10.944752217829517,2941.7769805416815,9.5694389342221839,LIMITED,SUPPORTED_FROZEN_EXACT_COUNT
Step2j BDT-K,46591e1059374aae646675a121885bd3943e1f13d5fdb6b47844cbf9a0546035,0.04,0.040000550998882257,0.90776956081390381,20327,508168,20326,1,102122,27683689,222648,59939617,324770,87623306,0.0037064339937139556,269.80110847676815,324203.26902789681,325337.72447564336,325708.94859079411,48.062634792931483,2374486.8547923556,2.0241272212532197e-05,0.031190525389855926,0.031190420168082256,2381351.7779261624,0.031145430399364901,427.22342038161321,21106549.820376493,2.02412722125322e-05,0.092992180034201316,0.092991866323483122,21167571.359343667,0.092857732748012303,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
Step2j BDT-KF,1ba187760b831e9452df537958a32828c1816715134b218d37c1d2360508df33,0.04,0.040004486705184111,0.99866056442260742,20329,508168,20326,3,424,27683689,1045,59939617,1469,87623306,1.6764946074963207e-05,59648.268209666443,1430.8855329719026,1508.1200807583175,1533.6280165878056,48.067363738156345,10740.281398189396,0.0044754287114171492,0.46381252651893357,0.46346721007591002,11212.795410687615,0.45361092524496244,427.26545545027864,95469.167983905747,0.0044754287114171492,1.3828217841496793,1.3817922494292092,99669.292539445465,1.352406485579138,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
SPA-Net 2M primary checkpoint,dc39cf76f0d8e40d07228f240fe58b1179e8134cd4f96c5c786a7d528d31ea8d,0.04,0.040000550998882257,0.99985778331756592,20327,508168,20324,3,10,27683689,40,59939617,50,87623306,5.7062444094496957e-07,1752466.1200000001,42.988083626863258,58.07505140478434,63.287074095747165,48.062634792931483,365.56437706567039,0.13147515952928165,2.5137705895324394,2.4615024034335486,462.70999636241476,2.1972625248474187,427.22342038161321,3249.461129472626,0.13147515952928165,7.4946158907123417,7.3387822678087131,4112.9777454436871,6.5509711599621943,LIMITED,SUPPORTED_FROZEN_EXACT_COUNT
SPA-Net 10M primary checkpoint,fd9ea100825ecc0412a2666f01fd19d1a91b25a50109b958c307102fa6943de5,0.04,0.040024165236693374,0.99995148181915283,20339,508168,20326,13,8,27683689,9,59939617,17,87623306,1.9401230992128967e-07,5154312.1176470593,12.936843825285605,22.176676751144814,25.499230082855323,48.091008464280677,124.29188820232793,0.38691992824178495,4.3136260320146613,4.0725721308581857,186.43220321786418,3.3849667527661715,427.47563079360606,1104.8167840206927,0.38691992824178495,12.86074804946329,12.142064170493434,1657.1751397143485,10.092021014349179,EXTREMELY_LIMITED,SUPPORTED_FROZEN_EXACT_COUNT
Step2j BDT-K,46591e1059374aae646675a121885bd3943e1f13d5fdb6b47844cbf9a0546035,0.03,0.030001889139024889,0.91679054498672485,15246,508168,15245,1,71709,27683689,156530,59939617,228239,87623306,0.0026047750355367781,383.91031331192301,227763.9007191151,228715.09295272469,229026.38820898236,36.048749449157931,1668720.9571418308,2.1602622832101229e-05,0.027906048411035837,0.027905947938001687,1674477.7787443406,0.027857936932324388,320.43332843695941,14833075.174594052,2.1602622832101229e-05,0.083199761640634834,0.083199462087998388,14884246.922171917,0.08305632092469635,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
Step2j BDT-KF,1ba187760b831e9452df537958a32828c1816715134b218d37c1d2360508df33,0.03,0.030003856992175816,0.99910223484039307,15247,508168,15244,3,125,27683689,277,59939617,402,87623306,4.5878205051975557e-06,217968.42288557213,382.06579808989801,422.95166500980281,436.57887177123234,36.051113921770373,2939.1375916079896,0.012265881673830371,0.66498022344594143,0.66362769627753759,3191.9536659816749,0.63690688720991506,320.45434597129224,26125.66748095991,0.012265881673830371,1.9825879777574993,1.9785555208375283,28372.921475392668,1.8988894601855419,FINITE_SUPPORT_CAUTION,SUPPORTED_FROZEN_EXACT_COUNT
SPA-Net 2M primary checkpoint,dc39cf76f0d8e40d07228f240fe58b1179e8134cd4f96c5c786a7d528d31ea8d,0.03,0.030005824845326743,0.99995505809783936,15248,508168,15240,8,2,27683689,7,59939617,9,87623306,1.0271239937009452e-07,9735922.8888888881,6.0692974561571136,13.089206089677186,15.705216422115459,36.053478394382807,65.801587871820672,0.54791198146485154,4.4445621590620705,4.110402483096629,114.82535316064349,3.2081816849332037,320.47536350562495,584.90300330507262,0.54791198146485154,13.251124157181366,12.254852489450659,1020.6698058723866,9.5649497755739397,EXTREMELY_LIMITED,SUPPORTED_FROZEN_EXACT_COUNT
SPA-Net 10M primary checkpoint,fd9ea100825ecc0412a2666f01fd19d1a91b25a50109b958c307102fa6943de5,0.03,0.03001172840477952,0.99998116493225098,15251,508168,15216,35,5,27683689,6,59939617,11,87623306,1.255373770078933e-07,7965755.0909090908,7.7489490650590396,15.393829963980767,18.207514250903657,36.060571812220097,80.424162954447482,0.44837982128138437,4.021048712023739,3.7658151348090625,133.12037210091822,2.9982146639981311,320.5384161086231,714.88144848397769,0.44837982128138437,11.988451014564077,11.227491509507471,1183.2921964526065,8.9389490664486804,EXTREMELY_LIMITED,SUPPORTED_FROZEN_EXACT_COUNT
Step2j BDT-K,46591e1059374aae646675a121885bd3943e1f13d5fdb6b47844cbf9a0546035,0.02,0.020001259426016594,0.92744898796081543,10164,508168,10163,1,43530,27683689,94631,59939617,138161,87623306,0.0015767608677079588,634.21157924450461,137791.35661993758,138531.63734887427,138773.96253550734,24.032499632771959,1010134.7979954017,2.3791378814455376e-05,0.023911635297936804,0.02391154048390013,1014616.3433445484,0.0238586739990315,213.62221895797299,8978975.9821813479,2.379137881445538e-05,0.071290722639160184,0.07129043995783127,9018811.9408404306,0.071132822552500044,ADEQUATE_RAW_SUPPORT,SUPPORTED_FROZEN_EXACT_COUNT
