sample_class	process_or_mode	campaign	artifact_type	blocking_reason	resolved
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	delphes_card_and_version	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	importance_sampling_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_general	unified_background_5m_wavea_pilots_20260720_retry1	stitching_definition	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	generator_stdout_or_summary	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	sum_generator_weights_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	parton_shower_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	delphes_card_and_version	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	importance_sampling_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_general	unified_background_5m_wavea_proven111_20260720_v1	stitching_definition	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	generator_stdout_or_summary	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	sum_generator_weights_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	parton_shower_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	delphes_card_and_version	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	importance_sampling_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_pilots_20260720_retry1	stitching_definition	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	generator_stdout_or_summary	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	sum_generator_weights_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	parton_shower_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	delphes_card_and_version	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	importance_sampling_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_bbbb_iht400to600	unified_background_5m_wavea_proven111_20260720_v1	stitching_definition	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	generator_stdout_or_summary	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	sum_generator_weights_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	parton_shower_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	delphes_card_and_version	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	stitching_definition	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	generator_stdout_or_summary	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	sum_generator_weights_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	parton_shower_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	delphes_card_and_version	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_20260717_0022	stitching_definition	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	generator_stdout_or_summary	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	sum_generator_weights_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	parton_shower_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	delphes_card_and_version	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717	stitching_definition	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	generator_stdout_or_summary	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	sum_generator_weights_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	parton_shower_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	delphes_card_and_version	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	qcd_hardqcd	qcd_hardqcd_importance_testfill_bin3_10k_20260717	stitching_definition	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	sum_generator_weights_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	parton_shower_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	schannel_single_top	unified_background_5m_single_top_pilot50k_20260722_v1	delphes_card_and_version	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	sum_generator_weights_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	parton_shower_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	schannel_single_top	unified_background_5m_single_top_scaleout280k_20260722_v1	delphes_card_and_version	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	sum_generator_weights_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	parton_shower_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	delphes_card_and_version	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	sum_generator_weights_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	parton_shower_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	delphes_card_and_version	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	sum_generator_weights_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	parton_shower_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_top	unified_background_5m_single_top_pilot50k_20260722_v1	delphes_card_and_version	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	sum_generator_weights_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	parton_shower_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tchannel_top	unified_background_5m_single_top_scaleout280k_20260722_v1	delphes_card_and_version	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	parquet	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	parquet	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	parquet	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	parquet	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	parquet	generator_stdout_or_summary	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	parquet	sum_generator_weights_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	parquet	parton_shower_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	parquet	delphes_card_and_version	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	generator_stdout_or_summary	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	sum_generator_weights_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	parton_shower_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	unified_background_5m_wavea_pilots_20260720_retry1	delphes_card_and_version	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	generator_stdout_or_summary	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	sum_generator_weights_record	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	parton_shower_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	ttbar_inclusive	unified_background_5m_wavea_proven111_20260720_v1	delphes_card_and_version	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	generator_banner_or_lhe_init	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	proc_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	run_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
background	tth_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	param_card	No matching sidecar path was located. A representative bundle content index or legacy production recovery is required.	False
