member_index	sample_class	training_target	process_or_mode	stratum_type	stratum	candidate_rows	fold	assignment_algorithm	grouping_key	status
30	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	75	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
31	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	55	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
32	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	56	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
33	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	56	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
34	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	69	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
35	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	58	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
36	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	57	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
37	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	66	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
38	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	50	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
39	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	46	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
40	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	67	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
41	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	62	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
42	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	57	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
43	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	59	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
44	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	55	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
45	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	67	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
46	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	52	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
47	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	54	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
48	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	70	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
49	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	63	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
50	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	58	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
51	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	77	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
52	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	71	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
53	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	66	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
54	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	53	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
55	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	63	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
56	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	63	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
57	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	57	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
58	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	53	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
59	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	56	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
60	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	63	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
61	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	62	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
62	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	61	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
63	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	55	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
64	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	64	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
65	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	61	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
66	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	65	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
67	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	67	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
68	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	49	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
69	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	52	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
70	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	74	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
71	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	58	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
72	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	58	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
73	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	44	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
74	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	53	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
75	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	69	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
76	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	63	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
77	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	55	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
78	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	61	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
79	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	58	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
80	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	65	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
81	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	57	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
82	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	59	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
83	signal	1	ggf_hh4b	signal_mode	ggf_hh4b	60	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
99	signal	1	vbf_hh4b	signal_mode	vbf_hh4b	612	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
100	signal	1	vbf_hh4b	signal_mode	vbf_hh4b	638	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
101	signal	1	vbf_hh4b	signal_mode	vbf_hh4b	691	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
102	signal	1	vbf_hh4b	signal_mode	vbf_hh4b	635	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
103	signal	1	vbf_hh4b	signal_mode	vbf_hh4b	605	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
104	signal	1	vbf_hh4b	signal_mode	vbf_hh4b	645	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
105	signal	1	vbf_hh4b	signal_mode	vbf_hh4b	639	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
106	signal	1	vbf_hh4b	signal_mode	vbf_hh4b	617	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
108	background	0	bbh_hbb_4fs	background_family	single_higgs	344	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
109	background	0	bbh_hbb_4fs	background_family	single_higgs	334	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
110	background	0	bbh_hbb_4fs	background_family	single_higgs	334	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
111	background	0	bbh_hbb_4fs	background_family	single_higgs	359	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
113	background	0	ggh_hbb	background_family	single_higgs	7	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
114	background	0	ggh_hbb	background_family	single_higgs	1	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
115	background	0	ggh_hbb	background_family	single_higgs	7	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
116	background	0	ggh_hbb	background_family	single_higgs	6	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
117	background	0	ggh_hbb	background_family	single_higgs	3	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
118	background	0	ggh_hbb	background_family	single_higgs	6	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
119	background	0	ggh_hbb	background_family	single_higgs	2	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
120	background	0	ggh_hbb	background_family	single_higgs	6	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
123	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
124	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
125	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
126	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
127	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
128	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
129	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
130	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
131	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
132	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
133	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
134	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
135	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
136	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
137	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
138	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
139	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
140	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
141	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
142	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
143	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
144	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
145	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
146	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
147	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
148	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
149	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
150	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
151	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
152	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
153	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
154	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
155	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
156	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
157	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
158	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
159	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
160	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
161	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
162	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
163	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
164	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
165	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
166	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
167	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
168	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
169	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
170	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
171	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
172	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
173	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
174	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
175	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
176	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
177	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
178	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
179	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
180	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
181	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
182	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
183	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
184	background	0	qcd_hardqcd	background_family	qcd_multijet	1	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
185	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
186	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
187	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
188	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
189	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
190	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
191	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
192	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
193	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
194	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
195	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
196	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
197	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
198	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
199	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
200	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
201	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
202	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
203	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
204	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
205	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
206	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
207	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
208	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
209	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
210	background	0	qcd_hardqcd	background_family	qcd_multijet	1	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
211	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
212	background	0	qcd_hardqcd	background_family	qcd_multijet	1	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
213	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
214	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
215	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
216	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
217	background	0	qcd_hardqcd	background_family	qcd_multijet	1	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
218	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
219	background	0	qcd_hardqcd	background_family	qcd_multijet	1	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
220	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
221	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
222	background	0	qcd_hardqcd	background_family	qcd_multijet	0	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
223	background	0	qcd_hardqcd	background_family	qcd_multijet	0	4	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
224	background	0	qcd_hardqcd	background_family	qcd_multijet	0	3	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
225	background	0	qcd_hardqcd	background_family	qcd_multijet	1	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
226	background	0	qcd_hardqcd	background_family	qcd_multijet	2	0	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
227	background	0	qcd_hardqcd	background_family	qcd_multijet	0	1	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
228	background	0	qcd_hardqcd	background_family	qcd_multijet	0	2	deterministic_stratum_greedy_largest_candidate_count_first_v1	member_index	pass
